scaffold	fragaria_gene	desc_1	desc_2	frac_ident	length	rank	start	end	strand
scf0513003	gene22925	AT1G14370.1_Symbols:_APK2A,	 _PBL2_protein_kinase_2A_chr1:4915576- 4918138_FORWARD_LENGTH=1743	0.462686567164179	67	7	1036	1236	-1	
scf0513003	gene22925	AT1G01540.2_Symbols:__Protein_kinase_superfamily_protein_chr1:195780-	 198684_FORWARD_LENGTH=1920	0.345454545454545	55	18	1321	1485	1	
scf0513003	gene22925	AT5G01550.1_Symbols:_LECRKA4.2_lectin_receptor_kinase_a4.1_chr5:21451	 7-216583_REVERSE_LENGTH=2067	0.401869158878505	107	4	1386	1706	-1	
scf0513003	gene22925	AT4G27300.1_Symbols:__S-	 locus_lectin_protein_kinase_family_protein_chr4:13669308- 13672348_REVERSE_LENGTH=2448	0.377049180327869	61	5	1563	1745	-1	
scf0513003	gene22925	AT4G04570.2_Symbols:_CRK40_cysteine-rich_RLK_(RECEPTOR-	 like_protein_kinase)_40_chr4:2289959- 2292391_FORWARD_LENGTH=1938	0.442622950819672	61	4	1193	1375	-1	
scf0513003	gene22925	AT1G21250.1_Symbols:_WAK1,	 _PRO25_cell_wall-associated_kinase_chr1:7439266- 7442113_FORWARD_LENGTH=2675	0.353383458646617	133	3	1755	2153	-1	
scf0513003	gene22925	AT1G48210.2_Symbols:__Protein_kinase_superfamily_protein_chr1:1779897	 9-17801987_FORWARD_LENGTH=1346	0.403669724770642	109	5	761	1087	-1	
scf0513003	gene22925	AT3G26940.1_Symbols:_CDG1_Protein_kinase_superfamily_protein_chr3:993	 6582-9939269_REVERSE_LENGTH=1757	0.462962962962963	162	1	517	1002	1	
scf0513003	gene22925	AT1G66150.1_Symbols:_TMK1_transmembrane_kinase_1_chr1:24631409-	 24634749_FORWARD_LENGTH=3257	0.382352941176471	102	4	2233	2538	-1	
scf0513003	gene22925	AT5G15080.1_Symbols:__Protein_kinase_superfamily_protein_chr5:4886114	 -4888788_FORWARD_LENGTH=2015	0.350877192982456	57	7	1228	1398	-1	
scf0513003	gene22925	AT1G26150.1_Symbols:_ATPERK10,	 _PERK10_proline-rich_extensin- like_receptor_kinase_10_chr1:9039628- 9043288_REVERSE_LENGTH=2866	0.372549019607843	51	7	2066	2218	-1	
scf0513003	gene22925	AT4G02630.1_Symbols:__Protein_kinase_superfamily_protein_chr4:1151613	 -1153356_FORWARD_LENGTH=1744	0.360824742268041	97	14	840	1130	-1	
scf0513003	gene22925	AT1G69270.1_Symbols:_RPK1_receptor-	 like_protein_kinase_1_chr1:26040689- 26042702_REVERSE_LENGTH=2014	0.524590163934426	61	3	1406	1588	-1	
scf0513003	gene22925	AT3G04690.1_Symbols:_ANX1_Malectin/receptor-	 like_protein_kinase_family_protein_chr3:1273172- 1276008_REVERSE_LENGTH=2755	0.339622641509434	53	7	1902	2060	1	
scf0513003	gene22925	AT5G61350.1_Symbols:__Protein_kinase_superfamily_protein_chr5:2466797	 3-24670501_FORWARD_LENGTH=2529	0.326315789473684	95	3	2007	2291	-1	
scf0513003	gene22925	AT1G60800.1_Symbols:_NIK3_NSP-interacting_kinase_3_chr1:22383453-	 22387457_REVERSE_LENGTH=2573	0.386904761904762	168	3	1552	2055	-1	
scf0513003	gene22925	AT1G21270.1_Symbols:_WAK2_wall-associated_kinase_2_chr1:7444931-	 7447549_FORWARD_LENGTH=2469	0.422222222222222	90	3	1698	1967	-1	
scf0513003	gene22925	AT3G28690.1_Symbols:__Protein_kinase_superfamily_protein_chr3:1075503	 9-10757868_FORWARD_LENGTH=2468	0.35	60	10	1534	1713	-1	
scf0513003	gene22925	AT5G07280.1_Symbols:_EMS1,	 _EXS_Leucine- rich_repeat_transmembrane_protein_kinase_chr5:2285040- 2288686_FORWARD_LENGTH=3647	0.430379746835443	79	3	3081	3317	-1	
scf0513003	gene22925	AT4G35030.2_Symbols:__Protein_kinase_superfamily_protein_chr4:1667612	 9-16678113_FORWARD_LENGTH=1674	0.288135593220339	59	5	895	1071	-1	
