scaffold	fragaria_gene	desc_1	desc_2	frac_ident	length	rank	start	end	strand
scf0512972	gene02732	AT1G65870.1_Symbols:__Disease_resistance-responsive_(dirigent-	 like_protein)_family_protein_chr1:24503624- 24504193_FORWARD_LENGTH=570	0.298701298701299	77	1	166	396	1	
scf0512972	gene02732	AT1G55210.2_Symbols:__Disease_resistance-responsive_(dirigent-	 like_protein)_family_protein_chr1:20597790- 20598675_REVERSE_LENGTH=814	0.377358490566038	53	1	278	436	1	
scf0512972	gene02732	AT2G28671.1_Symbols:__unknown_protein;_FUNCTIONS_IN:_molecular_func	 tion_unknown;_INVOLVED_IN:_biological_process_unknown;_L OCATED_IN:_cellular_component_unknown;_Has_30201_Blast_h its_to_17322_proteins_in_780_species:_Archae_- _12;_Bacteria_-_1396;_Metazoa_-_17338;_Fungi_- _3422;_Plants_-_5037;_Viruses_-_0;_Other_Eukaryotes_- _2996_(source:_NCBI_BLink)._chr2:12300203- 12302036_FORWARD_LENGTH=1834	0.338983050847458	59	6	370	546	1	
scf0512972	gene02732	AT1G07740.1_Symbols:__Tetratricopeptide_repeat_(TPR)-	 like_superfamily_protein_chr1:2397442- 2400508_REVERSE_LENGTH=2658	0.529411764705882	85	4	2210	2464	-1	
scf0512972	gene02732	AT4G13580.1_Symbols:__Disease_resistance-responsive_(dirigent-	 like_protein)_family_protein_chr4:7900374- 7901328_FORWARD_LENGTH=955	0.412698412698413	63	11	592	780	-1	
scf0512972	gene02732	AT3G13662.1_Symbols:__Disease_resistance-responsive_(dirigent-	 like_protein)_family_protein_chr3:4467090- 4468498_FORWARD_LENGTH=550	0.346153846153846	52	1	220	375	1	
scf0512972	gene02732	AT2G39430.1_Symbols:__Disease_resistance-responsive_(dirigent-	 like_protein)_family_protein_chr2:16463347- 16464531_FORWARD_LENGTH=1185	0.549019607843137	51	1	667	819	1	
scf0512972	gene02732	AT5G42510.1_Symbols:__Disease_resistance-responsive_(dirigent-	 like_protein)_family_protein_chr5:16998268- 16998816_REVERSE_LENGTH=549	0.368421052631579	57	1	205	375	1	
scf0512972	gene02732	AT5G49040.1_Symbols:__Disease_resistance-responsive_(dirigent-	 like_protein)_family_protein_chr5:19882676- 19883251_REVERSE_LENGTH=576	0.377358490566038	53	1	235	393	1	
scf0512972	gene02732	AT1G07730.2_Symbols:__Disease_resistance-responsive_(dirigent-	 like_protein)_family_protein_chr1:2397527- 2398696_REVERSE_LENGTH=1170	0.529411764705882	85	4	807	1061	-1	
