scaffold	fragaria_gene	desc_1	desc_2	frac_ident	length	rank	start	end	strand
scf0512956	gene01884	AT1G48490.2_Symbols:__Protein_kinase_superfamily_protein_chr1:1792193	 5-17928930_REVERSE_LENGTH=4366	0.365384615384615	52	1	3048	3203	1	
scf0512956	gene01884	AT4G16950.1_Symbols:_RPP5_Disease_resistance_protein_(TIR-NBS-	 LRR_class)_family_chr4:9538798- 9544467_REVERSE_LENGTH=4689	0.4375	64	3	307	498	-1	
scf0512956	gene01884	AT4G12020.2_Symbols:_WRKY19,_ATWRKY19,_MAPKKK11,	 _MEKK4_protein_kinase_family_protein_chr4:7201656- 7209648_FORWARD_LENGTH=5867	0.310344827586207	58	1	2293	2466	1	
scf0512956	gene01884	AT5G49140.1_Symbols:__Disease_resistance_protein_(TIR-NBS-	 LRR_class)_family_chr5:19919085- 19923415_REVERSE_LENGTH=2943	0.457627118644068	59	1	136	312	1	
scf0512956	gene01884	AT4G36150.1_Symbols:__Disease_resistance_protein_(TIR-NBS-	 LRR_class)_family_chr4:17104719- 17108711_FORWARD_LENGTH=3597	0.440677966101695	59	3	258	434	-1	
scf0512956	gene01884	AT1G72930.2_Symbols:_TIR_toll/interleukin-1_receptor-	 like_chr1:27439452-27440464_FORWARD_LENGTH=915	0.434426229508197	122	3	45	410	-1	
scf0512956	gene01884	AT5G17970.1_Symbols:__Disease_resistance_protein_(TIR-NBS-	 LRR_class)_family_chr5:5948999- 5951619_REVERSE_LENGTH=2343	0.308641975308642	81	5	139	381	-1	
scf0512956	gene01884	AT1G72890.1_Symbols:__Disease_resistance_protein_(TIR-	 NBS_class)_chr1:27429947-27431717_FORWARD_LENGTH=1317	0.268041237113402	97	5	118	408	-1	
scf0512956	gene01884	AT1G27180.1_Symbols:__disease_resistance_protein_(TIR-NBS-LRR_class),	 _putative_chr1:9439859-9446106_FORWARD_LENGTH=4959	0.411764705882353	85	1	601	855	1	
scf0512956	gene01884	AT2G25760.1_Symbols:__Protein_kinase_family_protein_chr2:10984808-	 10988924_REVERSE_LENGTH=2604	0.493150684931507	73	29	2074	2292	-1	
scf0512956	gene01884	AT3G44400.2_Symbols:__Disease_resistance_protein_(TIR-NBS-	 LRR_class)_family_chr3:16044687- 16049701_REVERSE_LENGTH=3469	0.4125	80	1	268	507	1	
scf0512956	gene01884	AT4G14340.1_Symbols:_CKI1,	 _CKL11_casein_kinase_I_chr4:8248286- 8251998_REVERSE_LENGTH=1950	0.445945945945946	74	1	538	759	1	
scf0512956	gene01884	AT3G23340.1_Symbols:_ckl10_casein_kinase_I-like_10_chr3:8350803-	 8353959_FORWARD_LENGTH=1741	0.364864864864865	74	7	433	654	-1	
scf0512956	gene01884	AT5G11250.1_Symbols:__Disease_resistance_protein_(TIR-NBS-	 LRR_class)_chr5:3587978-3591960_REVERSE_LENGTH=3570	0.419753086419753	81	2	267	509	-1	
scf0512956	gene01884	AT4G19530.1_Symbols:__disease_resistance_protein_(TIR-NBS-	 LRR_class)_family_chr4:10651744- 10657282_FORWARD_LENGTH=3914	0.450980392156863	51	5	221	373	-1	
scf0512956	gene01884	AT5G44900.1_Symbols:__Toll-Interleukin-	 Resistance_(TIR)_domain_family_protein_chr5:18135446- 18136438_FORWARD_LENGTH=863	0.384615384615385	78	1	236	469	1	
scf0512956	gene01884	AT5G41740.2_Symbols:__Disease_resistance_protein_(TIR-NBS-	 LRR_class)_family_chr5:16688626- 16693119_FORWARD_LENGTH=3724	0.435483870967742	62	3	190	375	-1	
scf0512956	gene01884	AT3G04220.1_Symbols:__Disease_resistance_protein_(TIR-NBS-	 LRR_class)_family_chr3:1109118- 1112188_REVERSE_LENGTH=2604	0.444444444444444	81	3	270	512	-1	
scf0512956	gene01884	AT5G22690.1_Symbols:__Disease_resistance_protein_(TIR-NBS-	 LRR_class)_family_chr5:7541271- 7545182_FORWARD_LENGTH=3419	0.469879518072289	83	1	204	452	1	
scf0512956	gene01884	AT1G56520.1_Symbols:__Disease_resistance_protein_(TIR-NBS-	 LRR_class)_family_chr1:21174768- 21178920_REVERSE_LENGTH=3540	0.46031746031746	63	3	183	371	-1	
scf0512956	gene01884	AT4G19910.1_Symbols:__Toll-Interleukin-	 Resistance_(TIR)_domain_family_protein_chr4:10795869- 10796687_REVERSE_LENGTH=726	0.46031746031746	63	2	162	350	-1	
scf0512956	gene01884	AT4G23510.1_Symbols:__Disease_resistance_protein_(TIR-NBS-	 LRR_class)_family_chr4:12267516- 12270543_REVERSE_LENGTH=1925	0.362068965517241	58	3	1164	1337	1	
scf0512956	gene01884	AT5G51630.1_Symbols:__Disease_resistance_protein_(TIR-NBS-	 LRR_class)_family_chr5:20970030- 20974916_FORWARD_LENGTH=3979	0.442622950819672	61	3	216	398	-1	
scf0512956	gene01884	AT5G48780.2_Symbols:__disease_resistance_protein_(TIR-	 NBS_class)_chr5:19777453-19779815_FORWARD_LENGTH=2161	0.427272727272727	110	2	97	426	-1	
scf0512956	gene01884	AT4G16990.1_Symbols:_RLM3_disease_resistance_protein_(TIR-NBS_class),	 _putative_chr4:9560135-9565453_FORWARD_LENGTH=2731	0.507462686567164	67	3	179	379	-1	
scf0512956	gene01884	AT1G48490.3_Symbols:__Protein_kinase_superfamily_protein_chr1:1792197	 9-17928930_REVERSE_LENGTH=4323	0.365384615384615	52	1	3133	3288	1	
scf0512956	gene01884	AT3G44630.3_Symbols:__Disease_resistance_protein_(TIR-NBS-	 LRR_class)_family_chr3:16195984- 16200595_FORWARD_LENGTH=4031	0.4125	80	1	496	735	1	
scf0512956	gene01884	AT3G51560.1_Symbols:__Disease_resistance_protein_(TIR-NBS-	 LRR_class)_family_chr3:19121808- 19125913_REVERSE_LENGTH=3762	0.416666666666667	60	1	160	339	1	
scf0512956	gene01884	AT3G44480.1_Symbols:_RPP1,	 _cog1_Disease_resistance_protein_(TIR-NBS- LRR_class)_family_chr3:16090564- 16096359_REVERSE_LENGTH=4038	0.425	80	1	524	763	1	
scf0512956	gene01884	AT5G46510.1_Symbols:__Disease_resistance_protein_(TIR-NBS-	 LRR_class)_family_chr5:18860451- 18867013_FORWARD_LENGTH=4708	0.493670886075949	79	1	115	351	1	
scf0512956	gene01884	AT4G19920.1_Symbols:__Toll-Interleukin-	 Resistance_(TIR)_domain_family_protein_chr4:10797217- 10798388_REVERSE_LENGTH=1028	0.508474576271186	59	3	322	498	-1	
scf0512956	gene01884	AT1G48490.1_Symbols:__Protein_kinase_superfamily_protein_chr1:1792197	 9-17928930_REVERSE_LENGTH=4238	0.365384615384615	52	1	3048	3203	1	
scf0512956	gene01884	AT1G65850.2_Symbols:__Disease_resistance_protein_(TIR-NBS-	 LRR_class)_family_chr1:24494678- 24498542_FORWARD_LENGTH=3269	0.433734939759036	83	3	275	523	-1	
scf0512956	gene01884	AT1G17615.1_Symbols:__Disease_resistance_protein_(TIR-	 NBS_class)_chr1:6059441-6060667_FORWARD_LENGTH=1143	0.504424778761062	113	3	9	347	-1	
scf0512956	gene01884	AT1G72840.2_Symbols:__Disease_resistance_protein_(TIR-NBS-	 LRR_class)_chr1:27409237-27413851_REVERSE_LENGTH=4008	0.419354838709677	124	3	198	569	-1	
scf0512956	gene01884	AT3G13672.2_Symbols:__TRAF-like_superfamily_protein_chr3:4472563-	 4474364_REVERSE_LENGTH=1662	0.418181818181818	55	7	1457	1621	-1	
scf0512956	gene01884	AT4G19510.1_Symbols:__Disease_resistance_protein_(TIR-NBS-	 LRR_class)_chr4:10633685-10639001_FORWARD_LENGTH=4225	0.413793103448276	58	3	315	488	-1	
scf0512956	gene01884	AT2G16870.1_Symbols:__Disease_resistance_protein_(TIR-NBS-	 LRR_class)_family_chr2:7308077- 7311686_REVERSE_LENGTH=3330	0.457627118644068	59	2	183	359	-1	
scf0512956	gene01884	AT5G43320.1_Symbols:_ckl8_casein_kinase_I-like_8_chr5:17385867-	 17389527_REVERSE_LENGTH=2205	0.405405405405405	74	5	775	996	-1	
scf0512956	gene01884	AT1G57630.1_Symbols:__Toll-Interleukin-	 Resistance_(TIR)_domain_family_protein_chr1:21345639- 21346157_FORWARD_LENGTH=519	0.417582417582418	91	1	64	336	1	
scf0512956	gene01884	AT1G27170.2_Symbols:__transmembrane_receptors;ATP_binding_chr1:943348	 8-9439417_FORWARD_LENGTH=4442	0.403508771929825	57	2	281	451	-1	
scf0512956	gene01884	AT4G16950.2_Symbols:_RPP5_Disease_resistance_protein_(TIR-NBS-	 LRR_class)_family_chr4:9538802- 9544467_REVERSE_LENGTH=4706	0.4375	64	3	307	498	-1	
scf0512956	gene01884	AT3G45790.1_Symbols:__Protein_kinase_superfamily_protein_chr3:16825	 005-16826222_REVERSE_LENGTH=1131	0.298507462686567	67	1	499	699	1	
scf0512956	gene01884	AT2G20142.1_Symbols:__Toll-Interleukin-	 Resistance_(TIR)_domain_family_protein_chr2:8695374- 8696643_FORWARD_LENGTH=1032	0.3	90	6	182	451	-1	
scf0512956	gene01884	AT1G72850.1_Symbols:__Disease_resistance_protein_(TIR-	 NBS_class)_chr1:27413971-27415335_FORWARD_LENGTH=1269	0.389830508474576	59	1	139	315	1	
scf0512956	gene01884	AT4G19520.1_Symbols:__disease_resistance_protein_(TIR-NBS-	 LRR_class)_family_chr4:10639269- 10647079_REVERSE_LENGTH=5463	0.483870967741935	62	1	4342	4527	1	
scf0512956	gene01884	AT5G51630.2_Symbols:__Disease_resistance_protein_(TIR-NBS-	 LRR_class)_family_chr5:20969621- 20974700_FORWARD_LENGTH=3778	0.442622950819672	61	3	235	417	-1	
scf0512956	gene01884	AT3G03940.1_Symbols:__Protein_kinase_family_protein_chr3:1014025-	 1019224_REVERSE_LENGTH=2862	0.433962264150943	53	19	1706	1864	-1	
