scaffold	fragaria_gene	desc_1	desc_2	frac_ident	length	rank	start	end	strand
scf0512945	gene00249	AT1G01540.2_Symbols:__Protein_kinase_superfamily_protein_chr1:195780-	 198684_FORWARD_LENGTH=1920	0.431372549019608	51	5	1106	1258	-1	
scf0512945	gene00249	AT3G53810.1_Symbols:__Concanavalin_A-	 like_lectin_protein_kinase_family_protein_chr3:19932992- 19935234_REVERSE_LENGTH=2243	0.392156862745098	51	6	1369	1521	-1	
scf0512945	gene00249	AT1G61550.1_Symbols:__S-	 locus_lectin_protein_kinase_family_protein_chr1:22704198- 22707826_REVERSE_LENGTH=2982	0.409836065573771	61	22	1415	1597	-1	
scf0512945	gene00249	AT5G01550.1_Symbols:_LECRKA4.2_lectin_receptor_kinase_a4.1_chr5:21451	 7-216583_REVERSE_LENGTH=2067	0.258064516129032	62	5	1717	1902	1	
scf0512945	gene00249	AT4G04570.2_Symbols:_CRK40_cysteine-rich_RLK_(RECEPTOR-	 like_protein_kinase)_40_chr4:2289959- 2292391_FORWARD_LENGTH=1938	0.333333333333333	60	5	1198	1377	1	
scf0512945	gene00249	AT4G27300.1_Symbols:__S-	 locus_lectin_protein_kinase_family_protein_chr4:13669308- 13672348_REVERSE_LENGTH=2448	0.339393939393939	165	18	1446	1940	1	
scf0512945	gene00249	AT1G11280.1_Symbols:__S-	 locus_lectin_protein_kinase_family_protein_chr1:3787334- 3790812_REVERSE_LENGTH=2699	0.357142857142857	70	21	1991	2200	1	
scf0512945	gene00249	AT3G26940.1_Symbols:_CDG1_Protein_kinase_superfamily_protein_chr3:993	 6582-9939269_REVERSE_LENGTH=1757	0.391891891891892	74	4	516	737	-1	
scf0512945	gene00249	AT5G15080.1_Symbols:__Protein_kinase_superfamily_protein_chr5:4886114	 -4888788_FORWARD_LENGTH=2015	0.464285714285714	56	4	1176	1343	-1	
scf0512945	gene00249	AT1G66150.1_Symbols:_TMK1_transmembrane_kinase_1_chr1:24631409-	 24634749_FORWARD_LENGTH=3257	0.439393939393939	66	3	2120	2317	1	
scf0512945	gene00249	AT1G26150.1_Symbols:_ATPERK10,	 _PERK10_proline-rich_extensin- like_receptor_kinase_10_chr1:9039628- 9043288_REVERSE_LENGTH=2866	0.378787878787879	66	4	1690	1887	-1	
scf0512945	gene00249	AT4G02630.1_Symbols:__Protein_kinase_superfamily_protein_chr4:1151613	 -1153356_FORWARD_LENGTH=1744	0.528301886792453	53	3	1013	1171	1	
scf0512945	gene00249	AT1G60800.1_Symbols:_NIK3_NSP-interacting_kinase_3_chr1:22383453-	 22387457_REVERSE_LENGTH=2573	0.4	55	6	1345	1509	-1	
scf0512945	gene00249	AT4G11460.1_Symbols:_CRK30_cysteine-rich_RLK_(RECEPTOR-	 like_protein_kinase)_30_chr4:6964468- 6967093_FORWARD_LENGTH=2103	0.322222222222222	90	12	1031	1300	1	
scf0512945	gene00249	AT5G07280.1_Symbols:_EMS1,	 _EXS_Leucine- rich_repeat_transmembrane_protein_kinase_chr5:2285040- 2288686_FORWARD_LENGTH=3647	0.377777777777778	90	4	2775	3044	-1	
scf0512945	gene00249	AT4G04500.1_Symbols:_CRK37_cysteine-rich_RLK_(RECEPTOR-	 like_protein_kinase)_37_chr4:2238411- 2240865_FORWARD_LENGTH=2039	0.397590361445783	83	10	1352	1600	-1	
scf0512945	gene00249	AT2G17220.1_Symbols:__Protein_kinase_superfamily_protein_chr2:7487654	 -7490167_REVERSE_LENGTH=1856	0.424242424242424	66	2	745	942	1	
scf0512945	gene00249	AT3G24540.1_Symbols:__Protein_kinase_superfamily_protein_chr3:8952903	 -8955621_FORWARD_LENGTH=1530	0.35632183908046	87	4	523	783	-1	
scf0512945	gene00249	AT5G60300.1_Symbols:__Concanavalin_A-	 like_lectin_protein_kinase_family_protein_chr5:24264751- 24267210_FORWARD_LENGTH=2460	0.254901960784314	51	8	1159	1311	-1	
scf0512945	gene00249	AT3G07070.1_Symbols:__Protein_kinase_superfamily_protein_chr3:2237958	 -2240074_FORWARD_LENGTH=1649	0.358208955223881	67	2	708	908	1	
scf0512945	gene00249	AT5G65700.1_Symbols:_BAM1_Leucine-rich_receptor-	 like_protein_kinase_family_protein_chr5:26281757- 26285247_FORWARD_LENGTH=3383	0.354838709677419	62	7	2577	2762	-1	
scf0512945	gene00249	AT4G11480.1_Symbols:_CRK32_cysteine-rich_RLK_(RECEPTOR-	 like_protein_kinase)_32_chr4:6971408- 6973799_FORWARD_LENGTH=1971	0.464285714285714	84	12	1256	1507	1	
scf0512945	gene00249	AT1G61440.1_Symbols:__S-	 locus_lectin_protein_kinase_family_protein_chr1:22669245- 22672323_REVERSE_LENGTH=2379	0.336734693877551	196	17	1421	2008	1	
scf0512945	gene00249	AT4G23300.1_Symbols:_CRK22_cysteine-rich_RLK_(RECEPTOR-	 like_protein_kinase)_22_chr4:12181932- 12184704_FORWARD_LENGTH=2226	0.342857142857143	70	10	1056	1265	-1	
scf0512945	gene00249	AT1G11330.1_Symbols:__S-	 locus_lectin_protein_kinase_family_protein_chr1:3810221- 3813607_FORWARD_LENGTH=2865	0.352941176470588	51	25	1674	1826	-1	
scf0512945	gene00249	AT1G01540.1_Symbols:__Protein_kinase_superfamily_protein_chr1:195812-	 198635_FORWARD_LENGTH=1908	0.431372549019608	51	6	1074	1226	-1	
scf0512945	gene00249	AT4G39400.1_Symbols:_BRI1,_CBB2,_DWF2,_BIN1,	 _ATBRI1_Leucine-rich_receptor- like_protein_kinase_family_protein_chr4:18324661- 18328826_FORWARD_LENGTH=4166	0.368421052631579	57	5	3243	3413	-1	
scf0512945	gene00249	AT1G16120.1_Symbols:_WAKL1_wall_associated_kinase-	 like_1_chr1:5522639-5524983_FORWARD_LENGTH=2193	0.431372549019608	51	4	1272	1424	-1	
scf0512945	gene00249	AT2G17220.2_Symbols:__Protein_kinase_superfamily_protein_chr2:7487675	 -7490176_REVERSE_LENGTH=1841	0.424242424242424	66	2	751	948	1	
scf0512945	gene00249	AT1G76370.1_Symbols:__Protein_kinase_superfamily_protein_chr1:2864844	 9-28650484_REVERSE_LENGTH=1602	0.464285714285714	56	3	753	920	1	
scf0512945	gene00249	AT4G23320.1_Symbols:_CRK24_cysteine-rich_RLK_(RECEPTOR-	 like_protein_kinase)_24_chr4:12189182- 12191977_REVERSE_LENGTH=1314	0.373134328358209	67	10	452	652	-1	
scf0512945	gene00249	AT4G23130.1_Symbols:_CRK5,	 _RLK6_cysteine-rich_RLK_(RECEPTOR- like_protein_kinase)_5_chr4:12117541- 12120134_REVERSE_LENGTH=2127	0.394594594594595	185	9	1031	1585	1	
scf0512945	gene00249	AT1G11330.2_Symbols:__S-	 locus_lectin_protein_kinase_family_protein_chr1:3810093- 3813558_FORWARD_LENGTH=2950	0.352941176470588	51	25	1808	1960	-1	
scf0512945	gene00249	AT5G18500.2_Symbols:__Protein_kinase_superfamily_protein_chr5:6138383	 -6141630_FORWARD_LENGTH=2026	0.431372549019608	51	5	1166	1318	-1	
scf0512945	gene00249	AT4G23190.1_Symbols:_CRK11,	 _AT-RLK3_cysteine-rich_RLK_(RECEPTOR- like_protein_kinase)_11_chr4:12141032- 12143833_REVERSE_LENGTH=2292	0.457142857142857	105	11	1379	1693	-1	
scf0512945	gene00249	AT4G21380.1_Symbols:_ARK3,	 _RK3_receptor_kinase_3_chr4:11388925- 11393226_REVERSE_LENGTH=2983	0.433962264150943	53	28	1995	2153	-1	
scf0512945	gene00249	AT1G31420.1_Symbols:_FEI1_Leucine-	 rich_repeat_protein_kinase_family_protein_chr1:11249618- 11253879_FORWARD_LENGTH=2469	0.306451612903226	62	6	1498	1683	-1	
scf0512945	gene00249	AT1G61380.1_Symbols:_SD1-29_S-domain-1_29_chr1:22646072-	 22649521_REVERSE_LENGTH=2743	0.295302013422819	149	15	1704	2150	1	
scf0512945	gene00249	AT4G23160.1_Symbols:_CRK8_cysteine-rich_RLK_(RECEPTOR-	 like_protein_kinase)_8_chr4:12129485- 12134187_FORWARD_LENGTH=3890	0.338235294117647	68	11	2750	2953	-1	
scf0512945	gene00249	AT1G61390.1_Symbols:__S-	 locus_lectin_protein_kinase_family_protein_chr1:22650338- 22653639_REVERSE_LENGTH=2496	0.417721518987342	79	14	1547	1783	1	
scf0512945	gene00249	AT2G23450.2_Symbols:__Protein_kinase_superfamily_protein_chr2:9988754	 -9991695_REVERSE_LENGTH=2502	0.381818181818182	55	4	1172	1336	-1	
scf0512945	gene00249	AT1G11280.4_Symbols:__S-	 locus_lectin_protein_kinase_family_protein_chr1:3787334- 3790812_REVERSE_LENGTH=2663	0.357142857142857	70	21	1955	2164	1	
scf0512945	gene00249	AT1G11280.3_Symbols:__S-	 locus_lectin_protein_kinase_family_protein_chr1:3787334- 3790876_REVERSE_LENGTH=2804	0.357142857142857	70	21	2096	2305	1	
scf0512945	gene00249	AT1G16160.1_Symbols:_WAKL5_wall_associated_kinase-	 like_5_chr1:5535973-5538269_FORWARD_LENGTH=2136	0.372093023255814	172	1	1198	1713	1	
scf0512945	gene00249	AT1G72300.1_Symbols:__Leucine-rich_receptor-	 like_protein_kinase_family_protein_chr1:27217477- 27221123_REVERSE_LENGTH=3647	0.420289855072464	69	5	2551	2757	-1	
scf0512945	gene00249	AT4G11890.3_Symbols:__Protein_kinase_superfamily_protein_chr4:7148246	 -7149921_FORWARD_LENGTH=1237	0.431034482758621	58	7	158	331	-1	
scf0512945	gene00249	AT4G23260.1_Symbols:_CRK18_cysteine-rich_RLK_(RECEPTOR-	 like_protein_kinase)_18_chr4:12167354- 12170086_REVERSE_LENGTH=2185	0.431034482758621	58	8	1011	1184	-1	
scf0512945	gene00249	AT4G11470.1_Symbols:_CRK31_cysteine-rich_RLK_(RECEPTOR-	 like_protein_kinase)_31_chr4:6967729- 6970161_FORWARD_LENGTH=2001	0.357142857142857	70	11	944	1153	-1	
scf0512945	gene00249	AT3G17420.1_Symbols:_GPK1_glyoxysomal_protein_kinase_1_chr3:5959212-	 5962179_REVERSE_LENGTH=1915	0.309090909090909	55	4	1405	1569	1	
scf0512945	gene00249	AT1G16130.1_Symbols:_WAKL2_wall_associated_kinase-	 like_2_chr1:5525491-5528212_FORWARD_LENGTH=2555	0.441176470588235	68	3	1376	1579	-1	
